Pressure (MPa),Temperature (°C),Specific volume v (m³/kg),Internal energy u (kJ/kg),Enthalpy h (kJ/kg),Entropy s (kJ/kg·K)
P,T,v,u,h,s
0.06,-37.07,0.31003,206.12,224.72,0.952
0.06,-20,0.33536,217.86,237.98,1.0062
0.06,-10,0.34992,224.97,245.96,1.0371
0.06,0,0.36433,232.24,254.1,1.0675
0.06,10,0.37861,239.69,262.41,1.0973
0.06,20,0.39279,247.32,270.89,1.1267
0.06,30,0.40688,255.12,279.53,1.1557
0.06,40,0.42091,263.1,288.35,1.1844
0.06,50,0.43487,271.25,297.34,1.2126
0.06,60,0.44879,279.58,306.51,1.2405
0.06,70,0.46266,288.08,315.84,1.2681
0.06,80,0.4765,296.75,325.34,1.2954
0.06,90,0.49031,305.58,335,1.3224
0.1,-26.43,0.1917,212.18,231.35,0.9395
0.1,-20,0.1977,216.77,236.54,0.9602
0.1,-10,0.20686,224.01,244.7,0.9918
0.1,0,0.21587,231.41,252.99,1.0227
0.1,10,0.22473,238.96,261.43,1.0531
0.1,20,0.23349,246.67,270.02,1.0829
0.1,30,0.24216,254.54,278.76,1.1122
0.1,40,0.25076,262.58,287.66,1.1411
0.1,50,0.2593,270.79,296.72,1.1696
0.1,60,0.26779,279.16,305.94,1.1977
0.1,70,0.27623,287.7,315.32,1.2254
0.1,80,0.28464,296.4,324.87,1.2528
0.1,90,0.29302,305.27,334.57,1.2799
0.14,-18.08,0.13945,216.52,236.04,0.9322
0.14,-10,0.14549,223.03,243.4,0.9606
0.14,0,0.15219,230.55,251.86,0.9922
0.14,10,0.15875,238.21,260.43,1.023
0.14,20,0.1652,246.01,269.13,1.0532
0.14,30,0.17155,253.96,277.97,1.0828
0.14,40,0.17783,262.06,286.96,1.112
0.14,50,0.18404,270.32,296.09,1.1407
0.14,60,0.1902,278.74,305.37,1.169
0.14,70,0.19633,287.32,314.8,1.1969
0.14,80,0.20241,296.06,324.39,1.2244
0.14,90,0.20846,304.95,334.14,1.2516
0.14,100,0.21449,314.01,344.04,1.2785
0.18,-12.73,0.10983,219.94,239.71,0.9273
0.18,-10,0.11135,222.02,242.06,0.9362
0.18,0,0.11678,229.67,250.69,0.9684
0.18,10,0.12207,237.44,259.41,0.9998
0.18,20,0.12723,245.33,268.23,1.0304
0.18,30,0.1323,253.36,277.17,1.0604
0.18,40,0.1373,261.53,286.24,1.0898
0.18,50,0.14222,269.85,295.45,1.1187
0.18,60,0.1471,278.31,304.79,1.1472
0.18,70,0.15193,286.93,314.28,1.1753
0.18,80,0.15672,295.71,323.92,1.203
0.18,90,0.16148,304.63,333.7,1.2303
0.18,100,0.16622,313.72,343.63,1.2573
0.2,-10.09,0.09933,221.43,241.3,0.9253
0.2,-10,0.09938,221.5,241.38,0.9256
0.2,0,0.10438,229.23,250.1,0.9582
0.2,10,0.10922,237.05,258.89,0.9898
0.2,20,0.11394,244.99,267.78,1.0206
0.2,30,0.11856,253.06,276.77,1.0508
0.2,40,0.12311,261.26,285.88,1.0804
0.2,50,0.12758,269.61,295.12,1.1094
0.2,60,0.13201,278.1,304.5,1.138
0.2,70,0.13639,286.74,314.02,1.1661
0.2,80,0.14073,295.53,323.68,1.1939
0.2,90,0.14504,304.47,333.48,1.2212
0.2,100,0.14932,313.57,343.43,1.2483
0.24,-5.37,0.08343,224.07,244.09,0.9222
0.24,0,0.08574,228.31,248.89,0.9399
0.24,10,0.08993,236.26,257.84,0.9721
0.24,20,0.09339,244.3,266.85,1.0034
0.24,30,0.09794,252.45,275.95,1.0339
0.24,40,0.10181,260.72,285.16,1.0637
0.24,50,0.10562,269.12,294.47,1.093
0.24,60,0.10937,277.67,303.91,1.1218
0.24,70,0.11307,286.35,313.49,1.1501
0.24,80,0.11674,295.18,323.19,1.178
0.24,90,0.12037,304.15,333.04,1.2055
0.24,100,0.12398,313.27,343.03,1.2326
0.28,-1.23,0.07193,226.38,246.52,0.9197
0.28,0,0.0724,227.37,247.64,0.9238
0.28,10,0.07613,235.44,256.76,0.9566
0.28,20,0.07972,243.59,265.91,0.9883
0.28,30,0.0832,251.83,275.12,1.0192
0.28,40,0.0866,260.17,284.42,1.0494
0.28,50,0.08992,268.64,293.81,1.0789
0.28,60,0.09319,277.23,303.32,1.1079
0.28,70,0.09641,285.96,312.95,1.1364
0.28,80,0.0996,294.82,322.71,1.1644
0.28,90,0.10275,303.83,332.6,1.192
0.28,100,0.10587,312.98,342.62,1.2193
0.28,110,0.10897,322.27,352.78,1.2461
0.28,120,0.11205,331.71,363.08,1.2727
0.32,2.48,0.06322,228.43,248.66,0.9177
0.32,10,0.06576,234.61,255.65,0.9427
0.32,20,0.06901,242.87,264.95,0.9749
0.32,30,0.07214,251.19,274.28,1.0062
0.32,40,0.07518,259.61,283.67,1.0367
0.32,50,0.07815,268.14,293.15,1.0665
0.32,60,0.08106,276.79,302.72,1.0957
0.32,70,0.08392,285.56,312.41,1.1243
0.32,80,0.08674,294.46,322.22,1.1525
0.32,90,0.08953,303.5,332.15,1.1802
0.32,100,0.09229,312.68,342.21,1.1076
0.32,110,0.09503,322,352.4,1.2345
0.32,120,0.09774,331.45,362.73,1.2611
0.4,8.93,0.05089,231.97,252.32,0.9145
0.4,10,0.05119,232.87,253.35,0.9182
0.4,20,0.05397,241.37,262.96,0.9515
0.4,30,0.05662,249.89,272.54,0.9837
0.4,40,0.05917,258.47,282.14,1.0148
0.4,50,0.06164,267.13,291.79,1.0452
0.4,60,0.06405,275.89,301.51,1.0748
0.4,70,0.06641,284.75,311.32,1.1038
0.4,80,0.06873,293.73,321.23,1.1322
0.4,90,0.07102,302.84,331.25,1.1602
0.4,100,0.07327,312.07,341.38,1.1878
0.4,110,0.0755,321.44,351.64,1.2149
0.4,120,0.07771,330.94,362.03,1.2417
0.4,130,0.07991,340.58,372.54,1.2681
0.4,140,0.08208,350.35,383.18,1.2941
0.5,15.74,0.04086,235.64,256.07,0.9117
0.5,20,0.04188,239.4,260.34,0.9264
0.5,30,0.04416,248.2,270.28,0.9597
0.5,40,0.04633,256.99,280.16,0.9918
0.5,50,0.04842,265.83,290.04,1.0229
0.5,60,0.05043,274.73,299.95,1.0531
0.5,70,0.0524,283.72,309.92,1.0825
0.5,80,0.05432,292.8,319.96,1.1114
0.5,90,0.0562,302,330.1,1.1397
0.5,100,0.05805,311.31,340.33,1.1675
0.5,110,0.05988,320.74,350.68,1.1949
0.5,120,0.06168,330.3,361.14,1.2218
0.5,130,0.06347,339.98,371.72,1.2484
0.5,140,0.06524,349.79,382.42,1.2746
0.6,21.58,0.03408,238.74,259.19,0.9097
0.6,30,0.03581,246.41,267.89,0.9388
0.6,40,0.03774,255.45,278.09,0.9719
0.6,50,0.03958,264.48,288.23,1.0037
0.6,60,0.04134,273.54,298.35,1.0346
0.6,70,0.04304,282.66,308.48,1.0645
0.6,80,0.04469,291.86,318.67,1.0938
0.6,90,0.04631,301.14,328.93,1.1225
0.6,100,0.0479,310.53,339.27,1.1505
0.6,110,0.04946,320.03,349.7,1.1781
0.6,120,0.05099,329.64,360.24,1.2053
0.6,130,0.05251,339.38,370.88,1.232
0.6,140,0.05402,349.23,381.64,1.2584
0.6,150,0.0555,359.21,392.52,1.2844
0.6,160,0.05698,369.32,403.51,1.31
0.7,26.72,0.02918,241.42,261.85,0.908
0.7,30,0.02979,244.51,265.37,0.9197
0.7,40,0.03157,253.83,275.93,0.9539
0.7,50,0.03324,263.08,286.35,0.9867
0.7,60,0.03482,272.31,296.69,1.0182
0.7,70,0.03634,281.57,307.01,1.0487
0.7,80,0.03781,290.88,317.35,1.0784
0.7,90,0.03924,300.27,327.74,1.1074
0.7,100,0.04064,309.74,338.19,1.1358
0.7,110,0.04201,319.31,348.71,1.1637
0.7,120,0.04335,328.98,359.33,1.191
0.7,130,0.04468,338.76,370.04,1.2179
0.7,140,0.04599,348.66,380.86,1.2444
0.7,150,0.04729,358.68,391.79,1.2706
0.7,160,0.04857,368.82,402.82,1.2963
0.8,31.33,0.02547,243.78,264.15,0.9066
0.8,40,0.02691,252.13,273.66,0.9374
0.8,50,0.02846,261.62,284.39,0.9711
0.8,60,0.02992,271.04,294.98,1.0034
0.8,70,0.03131,280.45,305.5,1.0345
0.8,80,0.03264,289.89,316,1.0647
0.8,90,0.03393,299.37,326.52,1.094
0.8,100,0.03519,308.93,337.08,1.1227
0.8,110,0.03642,318.57,347.71,1.1508
0.8,120,0.03762,328.31,358.4,1.1784
0.8,130,0.03881,338.14,369.19,1.2055
0.8,140,0.03997,348.09,380.07,1.2321
0.8,150,0.04113,358.15,391.05,1.2584
0.8,160,0.04227,368.32,402.14,1.2843
0.8,170,0.0434,378.61,413.33,1.3098
0.8,180,0.04452,389.02,424.63,1.3351
0.9,35.53,0.02255,245.88,266.18,0.9054
0.9,40,0.02325,250.32,271.25,0.9217
0.9,50,0.02472,260.09,282.34,0.9566
0.9,60,0.02609,269.72,293.21,0.9897
0.9,70,0.02738,279.3,303.94,1.0214
0.9,80,0.02861,288.87,314.62,1.0521
0.9,90,0.0298,298.46,325.28,1.0819
0.9,100,0.03095,308.11,335.96,1.1109
0.9,110,0.03207,317.82,346.68,1.1392
0.9,120,0.03316,327.62,357.47,1.167
0.9,130,0.03423,337.52,368.33,1.1943
0.9,140,0.03529,347.51,379.27,1.2211
0.9,150,0.03633,357.61,390.31,1.2475
0.9,160,0.03736,367.82,401.44,1.2735
0.9,170,0.03838,378.14,412.68,1.2992
0.9,180,0.03939,388.57,424.02,1.3245
1,39.33,0.0202,247.77,267.97,0.9043
1,40,0.02029,248.39,268.68,0.9066
1,50,0.02171,258.48,280.19,0.9428
1,60,0.02301,268.35,291.36,0.9768
1,70,0.02423,278.11,302.34,1.0093
1,80,0.02538,287.82,313.2,1.0405
1,90,0.02649,297.53,324.01,1.0707
1,100,0.02755,307.27,334.82,1.1
1,110,0.02858,317.06,345.65,1.1286
1,120,0.02959,326.93,356.52,1.1567
1,130,0.03058,336.88,367.46,1.1841
1,140,0.03154,346.92,378.46,1.2111
1,150,0.0325,357.06,389.56,1.2376
1,160,0.03344,367.31,400.74,1.2638
1,170,0.03436,377.66,412.02,1.2895
1,180,0.03528,388.12,423.4,1.3149
1.2,46.32,0.01663,251.03,270.99,0.9023
1.2,50,0.01712,254.98,275.52,0.9164
1.2,60,0.01835,265.42,287.44,0.9527
1.2,70,0.01947,275.59,298.96,0.9868
1.2,80,0.02051,285.62,310.24,1.0192
1.2,90,0.0215,295.59,321.39,1.0503
1.2,100,0.02244,305.54,332.47,1.0804
1.2,110,0.02335,315.5,343.52,1.1096
1.2,120,0.02423,325.51,354.58,1.1381
1.2,130,0.02508,335.58,365.68,1.166
1.2,140,0.02592,345.73,376.83,1.1933
1.2,150,0.02674,355.95,388.04,1.2201
1.2,160,0.02754,366.27,399.33,1.2465
1.2,180,0.02834,376.69,410.7,1.2724
1.2,180,0.02912,387.21,422.16,1.298
1.4,52.43,0.01405,253.74,273.4,0.9003
1.4,60,0.01495,262.17,283.1,0.9297
1.4,70,0.01603,272.87,295.31,0.9658
1.4,80,0.01701,283.29,307.1,0.9997
1.4,90,0.01792,293.55,318.63,1.0319
1.4,100,0.01878,303.73,330.02,1.0628
1.4,110,0.0196,313.88,341.32,1.0927
1.4,120,0.02039,324.05,352.59,1.1218
1.4,130,0.02115,334.25,363.86,1.1501
1.4,140,0.02189,344.5,375.15,1.1777
1.4,150,0.02262,354.82,386.49,1.2048
1.4,160,0.02333,365.22,397.89,1.2315
1.4,180,0.02403,375.71,409.36,1.2576
1.4,180,0.02472,386.29,420.9,1.2834
1.4,190,0.02541,396.96,432.53,1.3088
1.4,200,0.02608,407.73,444.24,1.3338
1.6,57.92,0.01208,256,275.33,0.8982
1.6,60,0.01233,258.48,278.2,0.9069
1.6,70,0.0134,269.89,291.33,0.9457
1.6,80,0.01435,280.78,303.74,0.9813
1.6,90,0.01521,291.39,315.72,1.0148
1.6,100,0.01601,301.84,327.46,1.0467
1.6,110,0.01677,312.2,339.04,1.0773
1.6,120,0.0175,322.53,350.53,1.1069
1.6,130,0.0182,332.87,361.99,1.1357
1.6,140,0.01887,343.24,373.44,1.1638
1.6,150,0.01953,353.66,384.91,1.1912
1.6,160,0.02017,364.15,396.43,1.2181
1.6,180,0.0208,374.71,407.99,1.2445
1.6,180,0.02142,385.35,419.62,1.2704
1.6,190,0.02203,396.08,431.33,1.296
1.6,200,0.02263,406.9,443.11,1.3212
